DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP
6/28/2017,60.1,51.7,1013.9,13.3,10,13,20,26,66,57,0
6/29/2017,59.8,50.8,1014.5,13.9,9.5,11.9,22,26,66,55.9,0
6/30/2017,58.3,50.4,1015.4,14.8,9.8,14.3,27,34,64.9,53.6,0
7/1/2017,58.5,50.2,1013.3,12.8,9.7,15.3,20,29.9,66,54,0
7/2/2017,60.5,50.8,1012.7,12,10,8.2,17.1,999.9,73.9,54,0
7/3/2017,61.8,52.6,1015.3,14.7,10,7.2,13,20,79,54,0
7/4/2017,62.6,52.8,1015.5,14.9,10,9,21,999.9,79,54,0
7/5/2017,59.8,51.9,1016.3,15.8,9.9,13.7,22,999.9,72,55,0
7/6/2017,59.8,51.3,1017.6,17,10,15.4,22,999.9,73,54,0
7/7/2017,64.1,50.2,1016.3,15.8,10,12.7,22,28.9,81,54,0
7/8/2017,67.6,48.2,1013,12.3,10,11.9,24.1,999.9,81,54,0
7/9/2017,59.8,50.8,1013.2,12.6,10,14,19,999.9,79,53.1,0
7/10/2017,60.8,51.3,1012.4,11.8,9.9,13.4,22.9,24.1,70,53.1,0
7/11/2017,61.8,50.9,1012.3,11.6,9.4,10.6,22,999.9,73,55,0
7/12/2017,61.8,50.7,1013.5,12.9,10,10.2,20,999.9,73,55,0
7/13/2017,60.6,52.4,1014.6,14.1,10,9.9,18.1,999.9,70,54,0
7/14/2017,61.3,52.7,1016,15.4,9.9,10.2,21,999.9,75,54,0
7/15/2017,63.4,53,1016.1,15.5,10,10.4,21,26,84.9,55,0
7/16/2017,68.4,50.4,1013.2,12.6,10,10.7,24.1,999.9,84.9,55,0
7/17/2017,64.3,49.6,1011.2,10.6,9.9,15.5,24.1,26,84,57.9,0
7/18/2017,59.8,50.1,1014.5,14.1,10,14.1,21,24.1,72,55,0
7/19/2017,60.9,50.5,1016.2,15.6,10,12.4,22.9,29.9,70,54,0
7/20/2017,60.9,51.3,1016.8,16.2,10,13.5,22.9,27,70,54,0
7/21/2017,61.2,50.4,1016,15.5,10,14.7,22,27,70,55,0
7/22/2017,63.2,52.7,1013.4,12.8,10,8.4,22,28,80.1,55,0
7/23/2017,64.4,52.6,1010.2,9.6,10,11.6,20,999.9,80.1,55,0
7/24/2017,62,53.2,1010.1,9.5,10,9.1,27,35,73.9,55,0
7/25/2017,65.9,53.4,1012.4,11.8,10,8,27,999.9,77,55,0
7/26/2017,64.9,54.4,1015.7,15.3,10,8.9,20,999.9,77,57.9,0
7/27/2017,62.2,53.1,1015.2,14.7,9.9,11.3,20,26,75.9,57,0
7/28/2017,61.3,52.9,1012.8,12.2,10,14.5,22,24.1,75.9,57,0
7/29/2017,61.1,51.9,1014.1,13.5,10,10.9,21,999.9,68,57,0
